date_raw,time_raw,river_level,raw_water_pump_duty,raw_water_flow,raw_water_ntu,raw_water_color,raw_water_ph,filtered_ntu,clear_well_level,treated_ph,treated_ntu,treated_color,chlorine_residual,alum_feed_rate,alum_dosage,treated_water_pump_duty,treated_water_flow,tank_18ml_level,tank_18ml_flow,remarks,source_file,source_sheet,available_time_raw,available_river_level,available_raw_water_pump_duty,available_raw_water_flow,available_raw_water_ntu,available_raw_water_color,available_raw_water_ph,available_filtered_ntu,available_clear_well_level,available_treated_ph,available_treated_ntu,available_treated_color,available_chlorine_residual,available_alum_feed_rate,available_alum_dosage,available_treated_water_pump_duty,available_treated_water_flow,available_tank_18ml_level,available_tank_18ml_flow,available_remarks,base_date,timestamp,raw_water_pump_count,treated_water_pump_count,is_backwash_event,is_treated_ntu_exceedance,operating_date,year,month,day,hour,weekday,sampling_gap_hours,missing_river_level,missing_raw_water_flow,missing_raw_water_ntu,missing_raw_water_color,missing_raw_water_ph,missing_filtered_ntu,missing_clear_well_level,missing_treated_ph,missing_treated_ntu,missing_treated_color,missing_chlorine_residual,missing_alum_feed_rate,missing_alum_dosage,missing_treated_water_flow,missing_tank_18ml_level,missing_tank_18ml_flow,outlier_river_level,outlier_raw_water_flow,outlier_raw_water_ntu,outlier_raw_water_color,outlier_raw_water_ph,outlier_filtered_ntu,outlier_clear_well_level,outlier_treated_ph,outlier_treated_ntu,outlier_treated_color,outlier_chlorine_residual,outlier_alum_feed_rate,outlier_alum_dosage,outlier_treated_water_flow,outlier_tank_18ml_level,outlier_tank_18ml_flow,outlier_raw_water_pump_count,outlier_treated_water_pump_count
2025-08-08,13:00,3.54,,55.2,14.0,133.0,,0.05,3.47,,0.2,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 13:00:00,,,False,False,2025-08-08,2025,8,8,13,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,15:00,3.54,,55.2,13.0,133.0,,0.06,3.45,,0.2,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 15:00:00,,,False,False,2025-08-08,2025,8,8,15,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,17:00,3.5375,,55.2,11.0,130.0,,0.06,3.44,,0.2,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 17:00:00,,,False,False,2025-08-08,2025,8,8,17,4,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,19:00,3.535,,55.3,11.0,130.0,,0.06,3.44,,0.21,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 19:00:00,,,False,False,2025-08-08,2025,8,8,19,4,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,21:00,3.5325,,55.3,16.0,200.0,,0.06,3.43,,0.24,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 21:00:00,,,False,False,2025-08-08,2025,8,8,21,4,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,23:00,,,53.4,19.0,255.0,,0.05,3.24,,0.21,5.0,,,,,51.9,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 23:00:00,,,False,False,2025-08-08,2025,8,8,23,4,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,01:00,,,53.4,19.0,255.0,,0.05,3.17,,0.21,5.0,,,,,52.4,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-09 01:00:00,,,False,False,2025-08-08,2025,8,9,1,5,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,03:00,,,53.1,12.0,280.0,,0.08,3.06,,0.26,5.0,,,,,52.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-09 03:00:00,,,False,False,2025-08-08,2025,8,9,3,5,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,05:00,,,53.4,12.0,280.0,,0.08,2.75,,0.3,5.0,,,,,52.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-09 05:00:00,,,False,False,2025-08-08,2025,8,9,5,5,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-09,07:00,3.52,,54.6,11.0,130.0,,0.08,2.9,,0.27,5.0,,,,,50.9,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-09,2025-08-09 07:00:00,,,False,False,2025-08-09,2025,8,9,7,5,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
