分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
工作日,周末,季节朴素,12,0.8481522088117023,0.24965608465608466,-0.18769251104032092,378
工作日,周末,机理专家,12,0.7967735107155776,0.2982794274800281,-0.04815665867800223,378
工作日,周末,LightGBM,12,0.8160615685398477,0.3664357870678875,-0.09951782571972179,378
工作日,周末,GRU,12,0.7974862539774004,0.3111090077120791,-0.05003272690831717,378
工作日,周末,MoE,12,0.7706350900013369,0.26739317687257885,0.01948558312916926,378
工作日,周末,季节朴素,10,0.8479825108009826,0.2488095238095238,-0.1864799688547587,378
工作日,周末,机理专家,10,0.7966625806172349,0.2979075580467549,-0.04721404321815692,378
工作日,周末,LightGBM,10,0.8274872031647801,0.3581760553898879,-0.12981982884332433,378
工作日,周末,GRU,10,0.7936076962218712,0.305393937877404,-0.03919814227303586,378
工作日,周末,MoE,10,0.772752642488042,0.2590936557578032,0.014701962715625294,378
工作日,周末,季节朴素,8,0.8479726834973353,0.2486243386243386,-0.1857086403035031,378
工作日,周末,机理专家,8,0.7965350869556742,0.29747811572132676,-0.046222564013547185,378
工作日,周末,LightGBM,8,0.8112406751391817,0.3346257030591388,-0.08520977220987258,378
工作日,周末,GRU,8,0.7964919226489605,0.3053020918858114,-0.04610917729955166,378
工作日,周末,MoE,8,0.7720532782369188,0.26381410512028547,0.0171012041197659,378
工作日,周末,季节朴素,6,0.8479703436463469,0.2485449735449735,-0.18497130921647909,378
工作日,周末,机理专家,6,0.7964141725837401,0.29705018851904347,-0.04526032812699099,378
工作日,周末,LightGBM,6,0.8008502916833522,0.3486020197388923,-0.05693720053481144,378
工作日,周末,GRU,6,0.7923684223230071,0.30982360633750444,-0.03466754570366026,378
工作日,周末,MoE,6,0.7640704775479508,0.2662091246136913,0.03791521436602063,378
工作日,周末,季节朴素,4,0.8479698756753745,0.2485185185185185,-0.18424241079488124,378
工作日,周末,机理专家,4,0.796287388265433,0.2965915108297515,-0.044285954156850105,378
工作日,周末,LightGBM,4,0.7826185544179624,0.3302791549383924,-0.008741857128073294,378
工作日,周末,GRU,4,0.7781930214824311,0.31002328424699727,0.0026343061463490747,378
工作日,周末,MoE,4,0.7483568319381995,0.2520382267489004,0.07764688759959071,378
工作日,周末,季节朴素,2,0.8479488167143084,0.24828042328042327,-0.18354741013709042,378
工作日,周末,机理专家,2,0.7961595697265343,0.29608101387172936,-0.043389883921816974,378
工作日,周末,LightGBM,2,0.7856494551957829,0.3348718756797125,-0.016024100837574995,378
工作日,周末,GRU,2,0.7720783471846019,0.30465201798885594,0.018773817194781328,378
工作日,周末,MoE,2,0.7462860044778085,0.2617417171991691,0.08323721187416588,378
季节,雨季,季节朴素,2,1.1754258415956784,0.43107575757575756,-0.11855096179120905,660
季节,雨季,机理专家,2,1.2410599590123887,0.583436591223581,-0.24695515427825732,660
